7:302,616,29,861,1023,1140,495,508,194,58
18:47812,54038,32205,8,17,518,43893,1382,508,654
19:
36:616,70,1050,654,891,5117,94,873,1382,131
37:1126,61,65,1511,472,496,1382,508,787,999
41:402,902,2193,58,1023,7407,690,101,138,86
42:518,58,787,999,1023,736,65,289,1126,1804
43:58,101,521,496,542,138,17,289,1187,1405
44:302,616,861,76,289,8,101,245,32,1804
45:347,4858,76,564,15580,226,654,236,302,650
46:61,508,58,302,1050,94,1126,114,554,674
59:61,654,1126,999,3233,1102,29,3017,4967,119
60:302,29,76,162,1023,45,194,2618,3429,58
69:61,402,32,58,787,508,94,1126,5117,131
70:899,654,302,76,354,48,58,301,496,787
94:65,119,32,353,1126,508,2115,302,559,1023
106:32,554,101,29,1140,103,162,194,268,2030
115:58,15,94,787,861,289,3730,29,86,354
116:226,508,4048,1164,380,94,1790,138,564,719
142:58,364,554,29,861,84,1804,2200,999,131
143:3231,394,483,22528,1196,1549,17,5746,42524,5662
148:1023,94,138,4048,179,901,17,70,380,521
150:861,101,554,289,1549,1804,17,302,564,4174
156:787,999,356,4833,301,86,542,563,3017,3730
161:616,32,84,101,289,1804,1023,490,563,2185
171:302,554,101,245,289,861,508,162,194,1804
172:861,162,1140,194,364,483,690,1535,2172,66
174:8,518,117,245,296,431,654,483,873,899
177:29,114,1140,1332,194,542,58,17,654,1550
196:508,101,554,29,999,1023,238,289,495,1832
202:302,58,245,554,32,356,861,194,1140,2200
211:815,7048,103,9559,1131,8,873,564,17,76
217:1023,1126,518,2115,4268,1405,7210,103,245,559
220:10178,186,22713,40356,39446,7649,46421,88939,45641,4032
223:58,103,554,2030,4268,496,518,690,1804,490
224:4797,353,17,650,76,84,2268,354,518,601
225:15,32,2733,5117,61,472,496,4048,616,138
228:568,302,542,650,17,15,58,616,654,787
229:58,787,508,402,94,101,861,364,1804,358
231:94,32,61,302,542,1196,15,363,364,101
232:48256,77322,55056,10261,100265,120622,83516,99135,85366,37449
238:1744,4421,441,774,10536,3618,4513,4856,5783,188
241:58,61,554,402,29,94,194,289,1804,690
245:81,262,16786,40012,508,650,780,3137,5767,3939
249:302,5117,94,17,15,546,61,65,103,402
250:1511,302,787,1578,29,94,356,1023,656,1126
253:189,4568,3107,7831,1527,6434,508,710,1206,3172
257:861,554,101,289,1804,354,690,194,17,1344
272:1102,29,654,58,239,8,616,301,726,1476
273:654,302,101,32,554,999,289,861,17,301
288:616,364,999,301,690,1023,29,194,449,17
290:834,1382,138,94,1126,901,4048,17,226,542
291:84,17,518,483,302,1102,354,65,101,289
292:58,289,194,495,2172,1140,138,449,483,1804
294:363,101,554,999,861,1102,353,15,17,8
328:58,654,8,302,76,650,3,15,472,486
331:302,66,490,4181,5542,495,1476,15,17,616
345:1754,77581,385,805,80736,92129,120518,33223,83173,11401
361:29,364,58,546,616,8,15,45,495,518
376:17,1140,302,58,45,194,861,6,29,616
384:654,554,616,101,1086,1624,17,483,1804,289
401:58,32,354,999,554,1102,29,356,496,1804
402:302,861,101,289,1804,1424,1476,66,94,690
410:984,1147,574,4755,7711,1013,1740,10041,3211,7235
448:245,616,518,58,94,101,1276,1382,289,999
449:1535,61,65,94,131,138,268,472,42,402
450:302,94,654,363,103,138,285,354,1140,29
452:13523,17,5869,8,302,84,238,518,654,861
476:245,17,1023,15,32,1987,302,496,518,564
488:508,787,616,94,861,902,1245,1102,17,138
490:17,15,302,32,101,554,1023,354,289,194
494:58,616,554,1804,45,690,1424,29,66,101
500:17,76,138,616,654,302,58,285,301,402
514:17,58,1196,62,1549,61,616,650,76,302
525:302,402,1187,472,535,245,496,508,29,542
535:17,1102,101,554,29,508,1140,289,861,1424
536:302,94,508,29,4181,483,542,616,901,490
538:999,1102,1126,394,616,1023,58,61,15,32
539:61,32,508,787,861,94,1023,29,138,483
564:32,554,289,518,861,94,495,508,449,1804
582:32,29,138,2172,490,1023,4181,616,495,530
585:17,61,1126,8,15,542,654,94,245,616
590:101,554,1762,861,29,1023,356,654,495,4181
601:90819,18245,90054,27912,121660,94414,75023,48912,121234,105155
618:616,17,58,138,542,787,15,61,302,654
624:17,76,518,103,245,542,8,61,62,226
627:4671,19731,7334,9594,11539,5512,1077,6475,19207,815
628:84119,39233,65861,6526,21488,75280,2051,10244,8,17390
632:81,931,2967,508,5767,226,353,564,8,140
633:61,58,554,94,289,508,364,1804,15,1509
634:70,226,508,58,140,262,616,1126,1535,2139
